name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,OTA_1_R1,OTA_1_R2,OTA_1_R3,OTA_2_R1,OTA_2_R2,OTA_2_R3,OTA_3_R1,OTA_3_R2,OTA_3_R3,OTA_4_R1,OTA_4_R2,OTA_4_R3,PTA_1_R1,PTA_1_R2,PTA_1_R3,PTA_2_R1,PTA_2_R2,PTA_2_R3,PTA_3_R1,PTA_3_R2,PTA_3_R3,PTA_4_R1,PTA_4_R2,PTA_4_R3
SCA-6_Chr8v1_21595,FK119,78.9,84.2,73.6,0.828,-0.5,0.57,-0.47,6.40E-01,1.00E+00,0.9998,13474,82.2,35.9,75.8,36.7,89.7,97.3,88.4,88.3,136.5,24.7,149,105.9,42.1,22.2,77.6,0,91.1,63.6,74,139.3,0,75.4,190.1,107.8
SCA-6_Chr8v1_21596,VDAC2,7.5,8.7,6.3,0.472,-0.5,1.46,-0.74,4.60E-01,1.00E+00,0.9998,13475,0,9.3,5.4,0,0,0,0,27.5,25.8,1.2,35.6,0,0,0,0,0,1.3,24.2,0,3.3,0,5.1,7.6,33.7
SCA-6_Chr8v1_21597,PUB4,357.1,325.7,388.4,1.231,-0.5,0.31,0.95,3.40E-01,1.00E+00,0.9998,13476,285.1,205.2,126.4,206.2,410.1,240.4,643,314.1,566.5,174.2,454.2,282.9,239.5,485.4,362.6,697.1,323,178.2,579.7,671.4,344.4,227.8,372.6,179.2
SCA-6_Chr8v1_21599,D14,108.9,116.6,101.2,0.87,-0.5,0.5,-0.4,6.90E-01,1.00E+00,0.9998,13477,139.6,38.3,142.6,51,44.1,151.3,42.7,126.2,188.1,61.8,193.7,219.3,106.6,167.5,153.4,0,81.8,224.8,79.6,126.2,33,95.1,54.4,92.3
SCA-6_Chr8v1_21600,SCA-6_Chr8v1_21600,4.8,3.7,5.9,2.291,-0.5,1.71,0.7,4.80E-01,1.00E+00,0.9998,13478,2,0,5.4,0,0,0.8,0,0,18.3,0,0,17.6,0,0,15.3,0,18.8,13.4,0,16.5,0,6.9,0,0
SCA-6_Chr8v1_21601,ACA1,318.1,285.6,350.7,1.265,-0.5,0.24,1.41,1.60E-01,1.00E+00,0.9998,13479,384.1,241.2,379.1,249,126.4,247.7,357.9,445.1,298.9,165.5,301.6,230.2,396,206.7,270.6,282,266.7,367.2,527,553,384.2,323.7,348.2,283.3
SCA-6_Chr8v1_21603,IFRD1,154.8,156.9,152.7,1.044,-0.5,0.49,0.13,9.00E-01,1.00E+00,0.9998,13480,201,64.9,203.1,0,261.6,146.4,151.9,169.9,227.9,124.8,193.7,137.7,119.7,30.1,170.5,1.6,123.3,175.5,264.6,226,148.9,179,165.2,227.4
SCA-6_Chr8v1_21604,ASCC2,189.2,237.8,140.6,0.755,-0.5,0.49,-0.83,4.10E-01,1.00E+00,0.9998,13481,207.9,362.9,76.7,926.8,354.2,93.2,171.7,166.1,64.5,286.6,83.2,59.8,286.8,143.9,100.1,0,187.7,72.5,232.1,105.3,258,151.6,82.9,66.4
SCA-6_Chr8v1_21605,SCA-6_Chr8v1_21605,63.8,57.5,70.2,1.07,-0.5,0.43,0.23,8.20E-01,1.00E+00,0.9998,13482,65.3,42.9,56.9,36.7,0,41.7,39.5,93,72,44.5,50.3,147.2,63.2,47.1,7.2,136.5,65.7,68.1,90.8,50.5,42.1,69.4,110.3,91.4
SCA-6_Chr8v1_21607,APT1,350.7,312.9,388.5,1.07,-0.5,0.4,0.24,8.10E-01,1.00E+00,0.9998,13483,128.7,129.9,327.7,134.7,119.1,409.6,126.9,414.7,401,103.8,690,769,211.8,379.4,306.7,94.7,84.4,628.7,144.6,351.1,201.2,391.4,823,1044.7
SCA-6_Chr8v1_21608,APT1,2.3,1.2,3.5,5.642,-0.5,2.29,1.09,2.80E-01,1.00E+00,0.9998,13484,0,0,3.6,0,0,0,0,0,1.1,0,0,10,0,0,0,0,16.1,10.7,0,5.5,0,0,9.2,0
SCA-6_Chr8v1_21610,ZAT10,6,5.2,6.7,1.626,-0.5,1.27,0.55,5.80E-01,1.00E+00,0.9998,13485,0,0,4.5,0,0,5.7,8.3,11.4,19.4,0,13.7,0,0,0,9.9,0,1.3,9,9,28.5,5.7,0,9.2,7.3
SCA-6_Chr8v1_21611,LBD38,75,118.4,31.5,0.358,-0.6,0.77,-1.94,5.30E-02,1.00E+00,0.9998,13486,215.8,134.5,167,293.9,210.2,199.5,26,0,34.4,135.9,3.7,0,172.4,28.8,34.3,0,13.4,61.8,2.2,6.6,4.5,32.5,4.6,16.8
SCA-6_Chr8v1_21612,SCO3,38.9,43.7,34,1.184,-0.6,0.56,0.43,6.60E-01,1.00E+00,0.9998,13487,76.2,45.2,44.2,44.9,25,111.2,25,15.2,6.5,122.3,9.1,0,130.3,49.7,24.4,0,29.5,31.3,49.3,27.4,22.7,36.8,5.1,1.4
SCA-6_Chr8v1_21613,SCA-6_Chr8v1_21613,18.3,15.1,21.6,1.5,-0.6,0.9,0.65,5.20E-01,1.00E+00,0.9998,13488,19.8,32.5,24.4,0,22,7.4,3.1,3.8,5.4,38.3,24.7,0,5.3,40.6,50.5,0,18.8,43,2.2,0,0,20.6,25.4,52.3
