name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Early_OTA_1_R1,Early_OTA_1_R2,Early_OTA_1_R3,Early_OTA_2_R1,Early_OTA_2_R2,Early_OTA_2_R3,Early_PTA_1_R1,Early_PTA_1_R2,Early_PTA_1_R3,Early_PTA_2_R1,Early_PTA_2_R2,Early_PTA_2_R3
SCA-6_Chr1v1_03958,SAP4,35.3,24.3,46.2,1.459,0.5,0.9,0.61,5.4e-01,1.0e+00,1,7287,49.5,14.4,12.8,0,30.2,38.7,10.7,18.5,55.4,76.7,24.3,91.7
SCA-6_Chr1v1_03959,SAP5,8.3,10.3,6.3,0.598,-0.7,1.68,-0.44,6.6e-01,1.0e+00,1,7288,9.7,17.5,10.4,0,9.2,15.3,0,26.6,0,0,2.4,8.7
SCA-6_Chr1v1_03960,LSM7,63.8,36.4,91.2,2.72,1.4,0.94,1.54,1.2e-01,1.0e+00,1,7289,14.1,11.3,79.3,55.1,19.7,38.7,0,208.2,22,41.7,77.7,197.6
SCA-6_Chr1v1_03962,GR1,58.4,65.1,51.6,0.87,-0.2,0.64,-0.31,7.6e-01,1.0e+00,1,7290,88.4,104.2,38.5,37.3,76.3,46,149.7,26.6,35.9,0,48.5,49
SCA-6_Chr1v1_03963,DR100,10.1,7.3,13,1.383,0.5,1.58,0.3,7.7e-01,1.0e+00,1,7291,10.6,2.1,12,0,0,19,0,8.1,3.3,23,6.1,37.2
SCA-6_Chr1v1_03965,FTIP3,34.8,21,48.7,1.018,0,1.1,0.02,9.8e-01,1.0e+00,1,7292,15,32,2.4,51.5,11.8,13.1,0,0,26.1,199.5,61.9,4.7
SCA-6_Chr1v1_03967,RLGP1,61.6,54.6,68.6,1.521,0.6,1,0.6,5.5e-01,1.0e+00,1,7293,46.9,83.6,56.1,0,50,91.2,0,75.2,97,0,88.6,151
SCA-6_Chr1v1_03969,CLU,54.9,64.5,45.2,0.837,-0.3,0.82,-0.31,7.5e-01,1.0e+00,1,7294,59.2,89.8,44.9,0,101.2,91.9,67.7,77.5,45.7,0,55.8,24.5
SCA-6_Chr1v1_03972,TCLOT,23.6,26.1,21.1,0.274,-1.9,1.44,-1.3,1.9e-01,1.0e+00,1,7295,41.5,15.5,52.1,0,19.7,27.7,0,0,7.3,15.3,0,104.3
SCA-6_Chr1v1_03973,SCC13,18,23.3,12.7,0.486,-1,1.14,-0.91,3.6e-01,1.0e+00,1,7296,23.9,28.9,35.3,23.1,5.3,23.3,53.5,0,9.8,0,7.3,5.5
SCA-6_Chr1v1_03975,FTIP1,7.2,3.7,10.7,3.474,1.8,2.15,0.84,4.0e-01,1.0e+00,1,7297,0,5.2,14.4,0,2.6,0,35.6,0,0,0,15.8,12.6
SCA-6_Chr1v1_03977,CYSG,6.8,4,9.5,4.539,2.2,2.15,1.02,3.1e-01,1.0e+00,1,7298,6.2,1,16.8,0,0,0,0,0,9.8,0,10.9,36.4
SCA-6_Chr1v1_03978,SCA-6_Chr1v1_03978,8.6,7.2,10.1,0.543,-0.9,1.97,-0.45,6.5e-01,1.0e+00,1,7299,21.2,0,4.8,0,10.5,6.6,0,0,31.8,0,0,28.5
SCA-6_Chr1v1_03979,OFT20,8.2,13.4,3,0.119,-3.1,2.37,-1.3,1.9e-01,1.0e+00,1,7300,11.5,39.2,0.8,0,28.9,0,0,0,17.9,0,0,0
