name,gene,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos,Late_OTA_3_R1,Late_OTA_3_R2,Late_OTA_3_R3,Late_OTA_4_R1,Late_OTA_4_R2,Late_OTA_4_R3,Late_PTA_3_R1,Late_PTA_3_R2,Late_PTA_3_R3,Late_PTA_4_R1,Late_PTA_4_R2,Late_PTA_4_R3
SCA-6_Chr1v1_01720,U71K2,71,76.3,65.7,0.825,-0.3,0.49,-0.56,5.7e-01,1.0e+00,0.9998,1469,155.5,34.9,65.5,74.4,51,76.4,130,22.9,98.6,34.1,78,30.6
SCA-6_Chr1v1_01721,CNOT9,6.5,1.3,11.7,4.182,2.1,2.19,0.94,3.5e-01,1.0e+00,0.9998,1470,0,0,0,0,7.6,0,0,0,25.3,0,11.2,33.6
SCA-6_Chr1v1_01722,SCA-6_Chr1v1_01722,146.6,146.8,146.5,0.941,-0.1,0.44,-0.2,8.4e-01,1.0e+00,0.9998,1471,107.2,149.4,147.3,77.5,236.2,163,151.9,213.4,38.6,126.2,188.1,161
SCA-6_Chr1v1_01723,SCA-6_Chr1v1_01723,137.5,109.8,165.2,1.699,0.8,0.41,1.88,6.0e-02,1.0e+00,0.9998,1472,76.6,49.8,154.3,89.9,223.9,64.1,141.6,174.8,162.6,132.8,171,208.4
SCA-6_Chr1v1_01724,HPL,328,361.2,294.8,0.848,-0.2,0.3,-0.81,4.2e-01,1.0e+00,0.9998,1473,325.2,406.5,431.4,246.5,491.2,266.6,235.5,292.9,422.5,202,291.8,324
SCA-6_Chr1v1_01725,CND2,136.2,141.4,130.9,1.278,0.4,0.53,0.66,5.1e-01,1.0e+00,0.9998,1474,157.9,102.6,60.8,424.7,77.5,25.1,199.5,94,154.6,126.2,94.6,116.7
SCA-6_Chr1v1_01727,YUID,118.7,115.6,121.8,1.005,0,0.35,0.02,9.8e-01,1.0e+00,0.9998,1475,101.3,120.5,108.7,100.8,152.1,110.1,118.4,132.6,54.6,152.7,124.5,147.8
SCA-6_Chr1v1_01728,CSCL4,37.3,44,30.7,0.608,-0.7,0.71,-1.01,3.1e-01,1.0e+00,0.9998,1476,8.2,40.8,31.6,119.4,21.7,42.2,10.3,3.6,16,58.8,22.4,72.9
SCA-6_Chr1v1_01729,UFD1,153.6,146.3,160.9,0.988,0,0.29,-0.06,9.5e-01,1.0e+00,0.9998,1477,152,181.3,130.9,91.5,128.5,193.4,126.1,139.8,122.6,129,214.8,233.4
SCA-6_Chr1v1_01732,RTL3,5.9,4.2,7.5,1.976,1,1.45,0.68,5.0e-01,1.0e+00,0.9998,1478,3.5,16.9,1.2,0,3.8,0,0,18.1,6.7,3.8,6.4,10.2
SCA-6_Chr1v1_01734,RS272,454.1,391.9,516.3,0.603,-0.7,0.62,-1.18,2.4e-01,1.0e+00,0.9998,1479,96.6,684.4,384.6,88.4,680.2,417.3,24.5,180.8,225.2,268.4,1150.7,1248.3
SCA-6_Chr1v1_01737,UFOG6,5.7,9.6,1.8,0.097,-3.4,1.96,-1.72,8.5e-02,1.0e+00,0.9998,1480,0,14.9,11.7,1.6,0,29.4,0,0,0,1.9,8.6,0
SCA-6_Chr1v1_01741,LYK3,24.2,21,27.4,1.013,0,1.1,0.02,9.9e-01,1.0e+00,0.9998,1481,25.9,18.9,38.6,9.3,29.3,4.3,0,112.1,0,9.5,18.7,23.9
SCA-6_Chr1v1_01745,SCA-6_Chr1v1_01745,23.3,26.7,19.9,0.921,-0.1,0.78,-0.15,8.8e-01,1.0e+00,0.9998,1482,17.7,39.9,46.8,1.6,44.4,9.6,7.7,32.5,38.6,10.4,11.8,18.3
SCA-6_Chr1v1_01746,SCA-6_Chr1v1_01746,16.6,19.2,14,0.953,-0.1,1.01,-0.07,9.5e-01,1.0e+00,0.9998,1483,0,24.9,59.6,10.9,17,2.7,19.3,24.1,13.3,1.9,13.9,11.7
SCA-6_Chr1v1_01748,SCA-6_Chr1v1_01748,39.2,37.8,40.7,1.395,0.5,0.73,0.66,5.1e-01,1.0e+00,0.9998,1484,34.2,39.9,44.4,14,89.7,4.3,55.3,62.7,6.7,23.7,46,49.9
SCA-6_Chr1v1_01749,2A5G,147,150,143.9,0.936,-0.1,0.36,-0.27,7.9e-01,1.0e+00,0.9998,1485,130.8,171.4,139.1,66.7,172.9,219.1,132.6,191.7,135.9,90.1,151.8,161.5
SCA-6_Chr1v1_01751,EBS,619.9,637.5,602.2,1.058,0.1,0.33,0.25,8.0e-01,1.0e+00,0.9998,1486,682.2,785.1,804.3,410.8,859.7,282.7,665.4,794.5,383.8,714.2,642.9,412.7
